0, 0
5, 2
10, 4
15, 6
20, 8
25, 10
30, 12
35, 14
40, 16
45, 18
50, 20
55, 22
60, 24
65, 26
70, 28
75, 30
80, 32
85, 34
90, 36
95, 38
100, 40
105, 42
110, 44
115, 46
120, 48
125, 50
130, 52
135, 54
140, 56
145, 58
150, 60
155, 62
160, 64
165, 66
170, 68
175, 70
180, 72
185, 74
190, 76
195, 78
200, 80
205, 82
210, 84
215, 86
220, 88
225, 90
230, 92
235, 94
240, 96
245, 98
250, 100
255, 102
260, 104
265, 106
270, 108
275, 110
280, 112
285, 114
290, 116
295, 118
300, 120
305, 122
310, 124
315, 126
320, 128
325, 130
330, 132
335, 134
340, 136
345, 138
350, 140
355, 142
360, 144
365, 146
370, 148
375, 150
380, 152
385, 154
390, 156
395, 158
400, 160
405, 162
410, 164
415, 166
420, 168
425, 170
430, 172
435, 174
440, 176
445, 178
450, 180
455, 182
460, 184
465, 186
470, 188
475, 190
480, 192
485, 194
490, 196
495, 198
500, 200
505, 202
510, 204
515, 206
520, 208
525, 210
530, 212
535, 214
540, 216
545, 218
550, 220
555, 222
560, 224
565, 226
570, 228
575, 230
580, 232
585, 234
590, 236
595, 238
600, 240
605, 242
610, 244
615, 246
620, 248
625, 250
630, 252
635, 254
640, 256
645, 258
650, 260
655, 262
660, 264
665, 266
670, 268
675, 270
680, 272
685, 274
690, 276
695, 278
700, 280
705, 282
710, 284
715, 286
720, 288
725, 290
730, 292
735, 294
740, 296
745, 298
750, 300
755, 302
760, 304
765, 306
770, 308
775, 310
780, 312
785, 314
790, 316
795, 318
800, 320
805, 322
810, 324
815, 326
820, 328
825, 330
830, 332
835, 334
840, 336
845, 338
850, 340
855, 342
860, 344
865, 346
870, 348
875, 350
880, 352
885, 354
890, 356
895, 358
900, 360
905, 362
910, 364
915, 366
920, 368
925, 370
930, 372
935, 374
940, 376
945, 378
950, 380
955, 382
960, 384
965, 386
970, 388
975, 390
980, 392
985, 394
990, 396
995, 398
